********************************************************************************
product = Open Liberty 20.0.0.5 (wlp-1.0.40.cl200520200429-1655)
wlp.install.dir = /home/gui/devs/user/target/liberty/wlp/
java.home = /usr/lib/jvm/java-11-openjdk-amd64
java.version = 11.0.7
java.runtime = OpenJDK Runtime Environment (11.0.7+10-post-Ubuntu-3ubuntu1)
os = Linux (5.4.0-29-generic; amd64) (pt_BR)
process = 2735@gui-Aspire-A315-51
********************************************************************************
[17/05/2020 13:47:05:415 BRT] 00000023 com.ibm.ws.webcontainer.osgi.mbeans.PluginGenerator          I SRVE9103I: Um arquivo de configuração para um plug-in de servidor da web foi automaticamente gerado para este servidor em /home/gui/devs/user/target/liberty/wlp/usr/servers/orion-user-service/logs/state/plugin-cfg.xml.
[17/05/2020 13:47:05:416 BRT] 00000022 com.ibm.ws.kernel.feature.internal.FeatureManager            A CWWKF0011I: O servidor orion-user-service está pronto para gerenciar um planeta mais inteligente. O servidor orion-user-service foi iniciado em 7,957 segundos.
[17/05/2020 13:47:08:698 BRT] 0000003d com.ibm.ws.http.internal.VirtualHostImpl                     A CWWKT0017I: Aplicativo da Web removido (default_host): http://localhost:9081/
[17/05/2020 13:47:08:778 BRT] 0000003d com.ibm.ws.app.manager.AppMessageHelper                      A CWWKZ0009I: O aplicativo orion-user-service foi interrompido com sucesso.
[17/05/2020 13:47:08:789 BRT] 0000003d com.ibm.ws.app.manager.AppMessageHelper                      I CWWKZ0018I: Iniciando o aplicativo orion-user-service.
[17/05/2020 13:47:08:789 BRT] 0000003d bm.ws.app.manager.war.internal.WARDeployedAppInfoFactoryImpl I CWWKZ0134I: O aplicativo orion-user-service está usando a definição de aplicativo indefinido no local /home/gui/devs/user/target/liberty/wlp/usr/servers/orion-user-service/apps/orion-user-service.war.xml.
[17/05/2020 13:47:08:837 BRT] 00000044 com.ibm.ws.webcontainer.osgi.mbeans.PluginGenerator          I SRVE9103I: Um arquivo de configuração para um plug-in de servidor da web foi automaticamente gerado para este servidor em /home/gui/devs/user/target/liberty/wlp/usr/servers/orion-user-service/logs/state/plugin-cfg.xml.
[17/05/2020 13:47:09:006 BRT] 0000003d com.ibm.ws.microprofile.openapi.ApplicationProcessor         I CWWKO1660I: O aplicativo orion-user-service foi processado e um documento OpenAPI foi produzido.
[17/05/2020 13:47:09:503 BRT] 0000003d com.ibm.ws.webcontainer.osgi.webapp.WebGroup                 I SRVE0169I: Carregando o Módulo da Web: orion-user-service.
[17/05/2020 13:47:09:504 BRT] 0000003d com.ibm.ws.webcontainer                                      I SRVE0250I: O Módulo da Web orion-user-service foi ligado ao default_host.
[17/05/2020 13:47:09:504 BRT] 0000003d com.ibm.ws.http.internal.VirtualHostImpl                     A CWWKT0016I: Aplicativo da Web disponível (default_host): http://localhost:9081/
[17/05/2020 13:47:09:514 BRT] 00000023 com.ibm.ws.session.WASSessionCore                            I SESN0176I: Um novo contexto de sessão será criado para a chave do aplicativo default_host/
[17/05/2020 13:47:09:515 BRT] 00000023 com.ibm.ws.util                                              I SESN0172I: O gerenciador de sessões está usando a implementação SecureRandom padrão Java para geração do ID de sessão.
[17/05/2020 13:47:09:520 BRT] 0000003d com.ibm.ws.app.manager.AppMessageHelper                      A CWWKZ0003I: O aplicativo orion-user-service foi atualizado em 0,730 segundos.
